,Num_DRS,DRS,Num_GVE,GVE,Num_Região_Saúde,RegiãodeSaúde,Num_Municipio
178,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35151,CATANDUVA,351560
179,9,Marília,XIX,MARÍLIA,35093,MARÍLIA,351565
180,1,São Paulo,VIII,MOGI DAS CRUZES,35011,ALTO DO TIETÊ,351570
181,11,Presidente Prudente,XXII,PRESIDENTE VENCESLAU,35111,ALTA PAULISTA,351580
182,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35157,VOTUPORANGA,351590
183,9,Marília,XIX,MARÍLIA,35091,ADAMANTINA,351600
184,9,Marília,XIII,ASSIS,35092,ASSIS,351610
185,8,Franca,XVIII,FRANCA,35081,TRÊS COLINAS,351620
186,1,São Paulo,IX,FRANCO DA ROCHA,35012,FRANCO DA ROCHA,351630
187,1,São Paulo,IX,FRANCO DA ROCHA,35012,FRANCO DA ROCHA,351640
188,2,Araçatuba,XI,ARAÇATUBA,35023,CONSÓRCIOS DO DRS II,351650
189,9,Marília,XIX,MARÍLIA,35093,MARÍLIA,351660
190,9,Marília,XIX,MARÍLIA,35093,MARÍLIA,351670
191,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35157,VOTUPORANGA,351680
192,3,Araraquara,XII,ARARAQUARA,35031,CENTRAL DO DRS III,351685
193,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35157,VOTUPORANGA,351690
194,6,Bauru,XV,BAURU,35065,LINS,351700
195,2,Araçatuba,XI,ARAÇATUBA,35023,CONSÓRCIOS DO DRS II,351710
196,6,Bauru,XV,BAURU,35065,LINS,351720
197,9,Marília,XIX,MARÍLIA,35093,MARÍLIA,351730
198,5,Barretos,XIV,BARRETOS,35051,NORTE-BARRETOS,351740
199,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35155,SÃO JOSÉ DO RIO PRETO,351750
200,16,Sorocaba,XXXII,ITAPEVA,35162,ITAPEVA,351760
201,8,Franca,XVIII,FRANCA,35083,ALTA MOGIANA,351770
202,2,Araçatuba,XI,ARAÇATUBA,35022,LAGOS DO DRS II,351780
203,5,Barretos,XIV,BARRETOS,35051,NORTE-BARRETOS,351790
204,15,São José do Rio Preto,XXX,JALES,35154,FERNANDÓPOLIS,351800
205,9,Marília,XIX,MARÍLIA,35093,MARÍLIA,351810
206,2,Araçatuba,XI,ARAÇATUBA,35021,CENTRAL DO DRS II,351820
207,1,São Paulo,VIII,MOGI DAS CRUZES,35011,ALTO DO TIETÊ,351830
208,17,Taubaté,XXXIII,TAUBATÉ,35172,CIRCUITO DA FÉ - VALE HISTÓRICO,351840
209,16,Sorocaba,XXXI,SOROCABA,35161,ITAPETININGA,351850
210,13,Riberão Preto,XXIV,RIBEIRÃO PRETO,35131,HORIZONTE VERDE,351860
211,4,Baixada Santista,XXV,SANTOS,35041,BAIXADA SANTISTA,351870
212,1,São Paulo,VIII,MOGI DAS CRUZES,35011,ALTO DO TIETÊ,351880
213,13,Riberão Preto,XXIV,RIBEIRÃO PRETO,35132,AQUÍFERO GUARANI,351885
214,2,Araçatuba,XI,ARAÇATUBA,35021,CENTRAL DO DRS II,351890
215,9,Marília,XIX,MARÍLIA,35095,TUPÃ,351900
216,7,Campinas,XVII,CAMPINAS,35072,REG METRO CAMPINAS,351905
217,7,Campinas,XVII,CAMPINAS,35072,REG METRO CAMPINAS,351907
218,6,Bauru,XV,BAURU,35062,BAURU,351910
219,9,Marília,XIX,MARÍLIA,35095,TUPÃ,351920
220,6,Bauru,XVI,BOTUCATU,35061,VALE DO JURUMIRIM,351925
221,3,Araraquara,XII,ARARAQUARA,35034,CORAÇÃO DO DRS III,351930
222,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35155,SÃO JOSÉ DO RIO PRETO,351940
223,9,Marília,XIII,ASSIS,35094,OURINHOS,351950
224,3,Araraquara,XII,ARARAQUARA,35032,CENTRO OESTE DO DRS III,351960
225,16,Sorocaba,XXXI,SOROCABA,35163,SOROCABA,351970
226,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35155,SÃO JOSÉ DO RIO PRETO,351980
227,11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,35113,ALTO CAPIVARI,351990
228,6,Bauru,XV,BAURU,35064,JAU,352000
229,8,Franca,XVIII,FRANCA,35083,ALTA MOGIANA,352010
230,17,Taubaté,XXVII,SÃO JOSÉ DOS CAMPOS,35171,ALTO VALE DO PARAÍBA,352020
231,12,Registro,XXIII,REGISTRO,35121,VALE DO RIBEIRA,352030
232,17,Taubaté,XXVIII,CARAGUATATUBA,35173,LITORAL NORTE,352040
233,12,Registro,XXIII,REGISTRO,35121,VALE DO RIBEIRA,352042
234,2,Araçatuba,XI,ARAÇATUBA,35022,LAGOS DO DRS II,352044
